No,Title,Rating,Votes,Duration,Genre
1,William Tell,5.7,4700,2h 14m,biography
2,A Complete Unknown,7.3,100000,2h 21m,biography
3,Saturday Night,6.9,35000,1h 49m,biography
4,I'm Still Here,8.2,118000,2h 17m,biography
5,Better Man,7.5,38000,2h 15m,biography
6,Under the Bridge,7.2,19000,,biography
7,The Apprentice,7.1,63000,2h 2m,biography
8,Maria,6.4,22000,2h 4m,biography
9,Bob Marley: One Love,6.2,36000,1h 47m,biography
10,Baby Reindeer,7.7,180000,,biography
11,Queer,6.4,25000,2h 17m,biography
12,Nr. 24,7.5,17000,1h 51m,biography
13,Queen of the Ring,6.3,2400,2h 9m,biography
14,Senna,8.2,19000,,biography
15,Joy,7.1,10000,1h 55m,biography
16,Scoop,6.5,21000,1h 42m,biography
17,Young Woman and the Sea,7.5,18000,2h 9m,biography
18,Ordinary Angels,7.4,17000,1h 58m,biography
19,Griselda,7.2,48000,,biography
20,Back to Black,6.3,28000,2h 2m,biography
21,The New Look,7.4,8900,,biography
22,Amaran,8.1,21000,2h 47m,biography
23,Rise of the Raven,7.7,5200,,biography
24,Mr Bates vs. The Post Office,8.4,15000,,biography
25,Audrey's Children,7.0,467,1h 50m,biography
26,The Remarkable Life of Ibelin,8.2,13000,1h 43m,biography
27,Unfrosted,5.5,36000,1h 37m,biography
28,Supersex,6.2,4900,,biography
29,Reagan,6.1,12000,2h 21m,biography
30,The Fire Inside,6.7,3200,1h 49m,biography
31,Cabrini,7.3,9300,2h 22m,biography
32,El 47,7.2,4100,1h 50m,biography
33,Bonhoeffer: Pastor. Spy. Assassin.,6.2,4100,2h 13m,biography
34,American Sports Story,7.2,2200,,biography
35,Mussolini: Son of the Century,8.2,3000,,biography
36,Super/Man: The Christopher Reeve Story,8.0,11000,1h 44m,biography
37,Pavements,7.1,734,2h 8m,biography
38,Winner,6.5,2900,1h 43m,biography
39,"So Long, Marianne",7.4,1100,,biography
40,Music by John Williams,8.2,5300,1h 45m,biography
41,Chandu Champion,7.8,35000,2h 22m,biography
42,Race for Glory: Audi vs. Lancia,5.8,5300,1h 49m,biography
43,Midas Man,6.4,1800,1h 52m,biography
44,Piece by Piece,6.9,6800,1h 33m,biography
45,Harbin,6.2,1200,1h 48m,biography
