No,Title,Rating,Votes,Duration,Genre
1,Wicked,7.4,181000,2h 40m,musical
2,Better Man,7.5,38000,2h 15m,musical
3,Moana 2,6.5,115000,1h 40m,musical
4,Joker: Folie à Deux,5.2,170000,2h 18m,musical
5,Mufasa: The Lion King,6.6,75000,1h 58m,musical
6,Mean Girls,5.5,39000,1h 52m,musical
7,Spermageddon,5.4,1800,1h 20m,musical
8,Emilia Pérez,5.4,93000,2h 12m,musical
9,Descendants: The Rise of Red,4.7,7600,1h 35m,musical
10,The End,5.4,2600,2h 28m,musical
11,Sooryavansham,7.0,247,2h 17m,musical
12,Spellbound,5.5,8200,1h 49m,musical
13,The Merry Gentlemen,4.8,10000,1h 27m,musical
14,Sing: Thriller,6.6,3300,11m,musical
15,The Best Friend,6.4,181,1h 36m,musical
16,Piece by Piece,6.9,6800,1h 33m,musical
17,Girl from the North Country,6.8,86,,musical
18,Noah's Ark,4.2,718,1h 36m,musical
19,Jeongnyeon: The Star Is Born,8.3,1800,,musical
20,How Could I Live Without You?,6.9,1200,1h 45m,musical
21,Indian 2,3.8,17000,,musical
22,Varshangalkku Shesham,6.6,4800,2h 46m,musical
23,Victory,6.5,379,2h,musical
24,This Is Me... Now,4.1,7200,1h 5m,musical
25,Thelma the Unicorn,5.7,3100,1h 33m,musical
26,(S)KiDS,8.2,164,1h 25m,musical
27,Trapezium,6.2,183,1h 35m,musical
28,The Night Before Christmas in Wonderland,6.3,531,1h 20m,musical
29,Disney Jr.'s Ariel,3.9,1100,,musical
30,Zombies: The Re-Animated Series,4.6,259,,musical
31,The Deb,7.4,74,2h 1m,musical
32,Everybody Loves Touda,6.4,546,1h 42m,musical
33,Kindergarten: The Musical,5.6,153,,musical
34,School of Magical Animals 3,5.7,385,1h 45m,musical
35,Queens of Drama,6.2,248,1h 54m,musical
36,"Kiss Me, Kate: The Musical",7.2,106,2h 41m,musical
37,Magic,7.3,7,1h 30m,musical
38,The Opera! Arie per un'eclissi,6.3,154,1h 46m,musical
39,Maria Callas,,0,1h,musical
40,Dongeng Sang Kancil,6.6,234,1h 39m,musical
41,Bring on the Damned!,4.9,59,1h 54m,musical
42,Wonder Pets: In the City,7.7,61,,musical
43,Chainsaws Were Singing,7.2,393,1h 57m,musical
44,First Nights at Freddy's,8.9,21,1h 38m,musical
45,Gaga Chromatica Ball,8.1,2100,1h 57m,musical
46,Cartier : A Season Tale,4.8,15,,musical
47,Bonnie and Clyde: The Musical,7.0,120,2h 30m,musical
48,Papás por conveniencia,7.3,46,,musical
49,Hazbin Hotel Abridged,,0,,musical
50,Shannon Matthews the Musical the Movie,7.5,212,1h 31m,musical
51,Polvo serán,6.6,327,1h 46m,musical
52,Pattaapakal,2.6,233,1h 44m,musical
53,A Very Special Digital Circus Song,8.4,81,3m,musical
54,ME,7.2,308,22m,musical
55,Puddles Pity Party Show,,0,,musical
56,Dans la cuisine des Nguyen,6.2,119,1h 39m,musical
57,Stray Gods: Orpheus,4.2,14,,musical
58,Benjamin Bat,7.9,34,1h 15m,musical
59,Fox & Hare Save the Forest,5.9,232,1h 11m,musical
60,Peas and Carrots,,0,1h 36m,musical
61,First Note of Love,7.3,372,,musical
62,The Premiere,9.0,26,1h 46m,musical
63,Joli joli,5.5,162,1h 56m,musical
64,Dee & Friends in Oz,7.4,111,,musical
65,Carol,7.6,54,1h 55m,musical
66,Hov1 4-ever,6.4,75,1h 32m,musical
67,Child Actor,,0,11m,musical
68,Eating Me Up,8.1,297,1h 44m,musical
69,Heart Strings,5.5,14,1h 47m,musical
70,Defying Gravity: The Curtain Rises on Wicked,7.0,274,42m,musical
71,Dylan's Playtime Adventures,8.7,43,,musical
72,The Backyardigans,3.2,58,,musical
73,Petta Rap,3.9,1700,2h 3m,musical
74,Kajolrekha,6.4,204,2h 36m,musical
75,Between the Lines,8.8,17,,musical
76,The Most Wonderful Time of the Year,5.4,434,3m,musical
77,Sisters and Neighbors!,6.4,207,1h 45m,musical
78,My Favourite Things: The Rodgers & Hammerstein 80th Anniversary Concert,7.8,72,,musical
79,Nature Cat's Nature Movie Special Extraordinaire,7.1,22,53m,musical
80,Milo,5.8,54,,musical
81,JoJo's Bizarre Adventure: Phantom Blood,,0,,musical
82,The Brink Of,8.3,60,1h 25m,musical
83,Captain Avispa,5.7,183,1h 36m,musical
84,2024 Rock & Roll Hall of Fame Induction Ceremony,7.4,86,5h 24m,musical
85,Eco Village,6.8,23,,musical
86,Navidad Catracha 2: El Origen,,0,,musical
87,Aum Penjor,,0,2h 18m,musical
88,Barbie Doll Adventures,7.6,14,,musical
89,Jane Eyre,,0,,musical
90,Isang himala,6.7,54,2h 25m,musical
91,Amaltash,8.1,162,1h 53m,musical
92,Ya Boy Kongming! Road to Summer Sonia,7.3,46,1h 59m,musical
93,O Picapau Amarelo,6.0,9,,musical
94,Ishttaragam,9.1,114,,musical
95,Krispy Rishtey,6.4,71,2h 13m,musical
96,El Sobreviviente Elizalde,6.8,19,,musical
97,Salvation,,0,1h 14m,musical
98,Shahid,6.6,89,1h 24m,musical
99,Hamein Dar Lagta Hai,,0,,musical
100,Wieland,5.7,19,,musical
101,The Agent,,0,,musical
102,Spit Me Out,,0,,musical
103,The 98th Annual Macy's Thanksgiving Day Parade,5.5,37,,musical
104,Civil Christmas,4.1,51,,musical
105,"Newsies, Carrying the Message",,0,,musical
106,Call Me Agnes,6.9,20,1h 34m,musical
107,Tony,6.6,31,,musical
108,Sight & Sound Presents: Daniel LIVE,8.9,25,,musical
109,Theodor,,0,2h,musical
110,Broadway's Leading Men: A Musical Celebration,,0,,musical
111,More Together,9.4,7,38m,musical
112,Mezhdu nami leto,5.7,58,1h 53m,musical
113,Josh Groban & Friends: Home for the Holidays,7.2,43,,musical
114,Cannes Confidentiel,,0,,musical
115,The Broken Promise Hololive English -Promise- 1st Anniversary Musical,9.2,12,1h 4m,musical
116,El musical de los 80s y los 90s. La película,6.7,9,1h 20m,musical
117,Cast Members,,0,7m,musical
118,Paramount+ x CBS Sports: UEFA Champions League - Nobody Watches Like U.S.,,0,1m,musical
119,Zhi Ci Qing Lv,6.6,51,1h 29m,musical
120,Rani ka Mood 2024,,0,,musical
121,The Little Big Things,8.5,15,,musical
122,Tu nombre y el mío,6.3,6,,musical
123,iHeartRadio Jingle Ball,6.4,16,,musical
124,Oliver Twist,,0,1h 36m,musical
125,Mama soy un Angry Bird,9.0,11,18m,musical
126,Lofar masoom sharma,,0,,musical
127,Lets Sing 2025,,0,,musical
128,The History of Nintendo,,0,5m,musical
129,1-800-Bod-Army,,0,,musical
130,Something in the Game,,0,2h 12m,musical
131,Satyrica,,0,,musical
132,O Som e a Sílaba,8.2,40,,musical
133,Het Feest van Tante Rita 2 - De Chocobom,6.7,24,1h 24m,musical
134,The Laundrette,9.1,13,,musical
135,Tromalesque A Tribute to 50 Years of Troma,3.7,26,,musical
136,The Ballad of Rose Mae,,0,10m,musical
137,The Good Loan Sharks,5.0,75,2h 2m,musical
138,Under Streetlights,9.0,17,1h 30m,musical
139,Oh... Canada,,0,6m,musical
140,Meri Duniya Tu He Hai,,0,4m,musical
141,Dante's Divine Comedy,,0,,musical
142,Stinney: An American Execution,,0,,musical
143,Over the Edge Live from Bruce's Hideaway,,0,8m,musical
144,Every Other Kid,,0,11m,musical
145,ITV Studio Sessions,,0,,musical
146,Pyar Wali Feel,,0,3m,musical
147,Life with Quincy 3,,0,1h 13m,musical
148,Gakuen iDOLM@STER,,0,,musical
149,VHS Christmas Carols,,0,1h 31m,musical
150,Get Away,,0,3m,musical
151,The Serials,,0,,musical
152,Stars on Stage,,0,,musical
153,Alice in Wonderland,,0,2h,musical
154,Message in a Bottle,,0,,musical
155,Dynamite,,0,1h,musical
156,Unforgiven,,0,20m,musical
157,Girl Crush,7.0,8,,musical
158,The Invisible - Agents of Ungentlemanly Warfare,,0,2h 14m,musical
159,Role Play,,0,16m,musical
160,"Bryson, the Demon Slayer",4.4,12,59m,musical
161,Jennie: Mantra (Performance Version),4.1,68,2m,musical
162,Its Okay,,0,,musical
163,Funtástico,,0,,musical
164,Gulaabo,,0,,musical
165,Back to the 8 Count,,0,17m,musical
166,Abá e Sua Banda,7.2,23,1h 24m,musical
167,Dream Academy,,0,,musical
168,Far Away from Home,,0,,musical
169,Mrs. Green Apple: The White Lounge,,0,1h 29m,musical
170,Behave,,0,,musical
171,Log Log Land,,0,58m,musical
172,Pawan Singh & Shivani Singh: Holi Song Kahan kahan,,0,,musical
173,Korsar,,0,1h 34m,musical
174,Blood Moon: An Evening with Ivon,,0,,musical
175,Peaceful Lights,8.9,21,1h 26m,musical
176,Ishq Mubarak,,0,,musical
177,LOVER,,0,15m,musical
178,La vie fantastique,,0,1h 19m,musical
179,Beinteha,,0,33m,musical
180,Ishq,,0,,musical
181,Benjamin,,0,1h,musical
182,Disney's the Lion King 30th Anniversary Tribute Special,,0,55m,musical
183,Bryant Park NYC Tree Lighting 2024,,0,,musical
184,Nowhere: Director's Cut,,0,43m,musical
185,Ed Maverick: La Nube en el Jardín,8.1,9,,musical
186,Mondongo: Kunst der Farbe,5.4,5,1h 30m,musical
187,Soldier of Love,,0,1h 40m,musical
188,Tu Zindagi (Video Song),,0,,musical
189,Mozart! The musical in vienna,,0,2h 26m,musical
190,Turnabout Big Top: Another Ace Attorney Musical,,0,1h 38m,musical
191,Purano Sei Diner Kotha X Ami Chini Go Chini Fusion,,0,,musical
192,The Knocks: Stay Gold,9.5,8,5m,musical
193,Jackie Gage - Brave,,0,,musical
194,Coins,9.2,58,5m,musical
195,From Corinne's Heart,,0,42m,musical
196,The Muses and Father Time,,0,1h 45m,musical
197,XXVIII Globos de Ouro,,0,3h,musical
198,Forevertown,,0,13m,musical
199,Mundo Mágico Animado,,0,,musical
200,Keo=peul-ji-ok,5.6,8,1h 34m,musical
201,Igor Unplugged,,0,20m,musical
202,Anal Haq,,0,5m,musical
203,Mona,,0,17m,musical
204,Seishun Musical Comedy Oddboys,,0,,musical
205,Richard II,,0,2h 18m,musical
206,Johnny Marfa and the Lights: Keep on L-I-V-I-N,,0,,musical
207,Home Essentials Commercial,,0,,musical
208,Equals,9.2,30,,musical
209,Akelapan,,0,,musical
210,Mohd. Danish & Swati Sharma: Beraham Ghadiyan,,0,,musical
211,"Angela Aguilar, Bolero: Documental",2.9,13,,musical
212,Dis-topia,,0,2h 39m,musical
213,BreakTudo Awards 2024,,0,,musical
214,Homofonia,,0,18m,musical
215,Gap: Give Your Gift.,,0,2m,musical
216,Génesis,,0,15m,musical
217,Freydís and Gudrid,,0,,musical
218,Musikalsk Reise Mamma Mia,,0,1h,musical
219,Our Shivba,9.2,10,3m,musical
220,Ich bin der Architekt meines Lebens,6.2,16,31m,musical
221,Headhunting to Beatboxing,,0,1h 2m,musical
222,Together Forever,,0,,musical
223,Soumita Saha: Teri Ore,,0,,musical
224,Kevin Kaarl - Esta noche,,0,,musical
225,The Ballad of Shady Billups,,0,3m,musical
226,Ishq Hai Bolna Padta Hai,,0,,musical
227,Ganon with One N,,0,3m,musical
228,No Hay Cuba Libre,,0,3m,musical
229,Give My Regards,,0,8m,musical
230,Meidän Valtakunta,,0,7m,musical
231,At Arm's Length,,0,21m,musical
232,Bassam Mahdi -Roma,,0,,musical
233,Rick Ross,,0,,musical
234,Oyoshe: Metà strada,,0,,musical
235,Ghe Damana,,0,,musical
236,Swift Spark's the Name,,0,1m,musical
237,Bob Gatewood - Good Times Start Today,,0,,musical
238,Pyar ban gaya,,0,4m,musical
239,Judith Rodríguez: Alicia,,0,4m,musical
240,Lancen Gm - how can i trust u? (Animation Version),,0,3m,musical
241,One,,0,,musical
242,"Poymay menya, esli smozesh",,0,,musical
243,Solo Town,6.4,25,1h 43m,musical
244,Shambhu,6.4,18,,musical
245,Say Hi After You Die,7.2,20,17m,musical
246,Little Shop of Horrors Fan film,,0,,musical
247,The Clashing Elements: Saviors of the Multiverse,7.2,9,1h 31m,musical
248,Koorzang,,0,,musical
249,Sem vergonha,7.4,6,,musical
250,"So Far, So Close",,0,,musical
251,Minna Craucher,,0,,musical
252,The Butterflies of Love,,0,14m,musical
253,Mikaeli Hitting Metal.,8.9,9,,musical
254,For the Drama,4.7,12,,musical
255,Christmas Karma,,0,,musical
256,De Auditie,,0,,musical
257,Puppet,,0,12m,musical
258,De 3 Biggetjes,6.5,11,1h 37m,musical
259,Cakes!,7.9,8,2m,musical
260,Erityisen ikävä paikka,,0,20m,musical
261,Meu Sangue Ferve por Você - a Série,,0,,musical
262,The Puppeteer,,0,9m,musical
263,El Piano,,0,,musical
264,Teri Yaadein,,0,,musical
265,Just Sally,,0,,musical
266,Kindness Town,,0,14m,musical
267,KISS OF LIFE Bad News - Dance Cover Kim Imran,,0,,musical
268,Class Crush,,0,8m,musical
269,Megameat,7.2,6,,musical
270,Club Misterio: ALFA,,0,4m,musical
271,Lo que nos une,,0,58m,musical
272,Victors,,0,13m,musical
273,Under the Oak Tree,,0,,musical
274,Single Buffalo,,0,10m,musical
275,Paris 2024 Paralympic Opening Ceremony,6.4,20,3h,musical
276,Big Band Eyyub Yagubov,,0,2h 38m,musical
277,Blue Light,,0,,musical
278,Aida,,0,2h 45m,musical
279,Rise of the Deermageddon,,0,,musical
280,Challa,,0,,musical
281,This Life of Ours,,0,2m,musical
282,Waiting on You...,,0,8m,musical
283,Mini Smiley,,0,,musical
284,4 na 5 feat. Chanda na Kay: Wikambelesha,,0,,musical
285,Alicia Gilipollas,,0,15m,musical
286,Wedding invitation,,0,,musical
287,An Incomplete Love Story,,0,,musical
288,The Silent Synthetic Symphony: A Human-Ai Collaboration,8.6,16,7m,musical
289,KorimDick,8.0,8,21m,musical
290,Lokananta,6.2,14,,musical
291,Swings,5.3,8,,musical
292,Chandni Baby,,0,,musical
293,Fatoumata Diawara - 'Nsera',,0,3m,musical
294,You Are Not Alone,,0,5m,musical
295,DJ Marwar,6.8,21,,musical
296,CameraChild,,0,57m,musical
297,Point of the Pen,,0,,musical
298,Agnes' Key,,0,5m,musical
299,La Joie de Vivre,,0,15m,musical
300,Rajguru Aur Tenaliram,,0,,musical
301,It Is Finished,,0,,musical
302,Waiting for the Kick,,0,1h 27m,musical
303,Session,,0,,musical
304,Mere Mortal,,0,4m,musical
305,Happy Songs About Unhappy Things,,0,,musical
306,Cirkus Summarum 2024,,0,,musical
307,Paris 2024 Paralympic Closing Ceremony,7.4,11,3h,musical
308,Hold My Girl,,0,,musical
309,Qudrat,,0,,musical
310,Súper Ada,,0,,musical
311,Honeymoon Full Moon,,0,,musical
312,Parallel,,0,5m,musical
313,Lizzie Wilding: Heavy Metal Werewolf,,0,16m,musical
314,Pehli Baar Ho Raha,,0,,musical
315,Rose Tinted,,0,16m,musical
316,Harmonie,,0,1h 14m,musical
317,A moth on a bomb,,0,35m,musical
318,Fido Tells the Story of 'Boom! The Musical',,0,15m,musical
319,Seraphim: The Motion Picture,,0,1h 12m,musical
320,Shambho Mahadeva,,0,,musical
321,Rangde,8.5,7,2h 23m,musical
322,Explaining Elizabeth,,0,1h 40m,musical
