No,Title,Rating,Votes,Duration,Genre
1,William Tell,5.7,4700,2h 14m,war
2,The Ministry of Ungentlemanly Warfare,6.8,144000,2h 2m,war
3,Shōgun,8.6,226000,,war
4,Creature Commandos,7.8,22000,,war
5,Masters of the Air,7.8,66000,,war
6,The Six Triple Eight,6.7,29000,2h 7m,war
7,Dirty Angels,4.5,4900,1h 44m,war
8,Nr. 24,7.5,17000,1h 51m,war
9,Blitz,6.2,17000,2h,war
10,The Tattooist of Auschwitz,8.0,13000,,war
11,Amaran,8.1,21000,2h 47m,war
12,Rise of the Raven,7.7,5200,,war
13,The Sympathizer,6.8,9000,,war
14,We Were the Lucky Ones,7.7,6800,,war
15,Uprising,6.6,6200,2h 6m,war
16,My Dead Friend Zoe,6.5,3100,1h 43m,war
17,"Canadian, Sniper",3.4,381,1h 23m,war
18,Murder Company,3.6,1700,1h 26m,war
19,Without Blood,7.3,118,1h 31m,war
20,Chandu Champion,7.8,35000,2h 22m,war
21,Bau: Artist at War,7.4,70,2h 10m,war
22,Mehmed: Fetihler Sultani,7.9,2500,,war
23,Call of Duty: Black Ops 6,7.4,1800,,war
24,Quisling: The Final Days,7.1,1400,2h 26m,war
25,One Piece Fan Letter,9.2,22000,25m,war
26,The Witch: Revenge,5.3,908,1h 40m,war
27,Unsinkable,7.2,53,,war
28,In the Fire of War,6.7,302,1h 55m,war
29,"Love, Courage and the Battle of Bushy Run",5.0,202,1h 53m,war
30,The Friendly,8.8,42,1h 41m,war
31,Escape from Germany,5.4,1100,1h 37m,war
32,Goebbels and the Führer,6.7,2800,2h 15m,war
33,Porcelain War,7.1,1300,1h 27m,war
34,Ataturk 1881-1919,8.8,8300,,war
35,Intercepted,8.0,620,1h 35m,war
36,Before Dawn,5.4,1200,1h 41m,war
37,Way Home,6.4,1600,1h 38m,war
38,Battlefield,6.2,738,1h 44m,war
39,Churchill at War,7.6,2100,,war
40,Ei koskaan yksin,7.0,504,1h 25m,war
41,24 Hours to D-Day,2.8,141,1h 23m,war
42,Invasion,4.8,776,1h 31m,war
43,Russians at War,2.1,1100,2h 14m,war
44,Quisling,7.5,495,,war
45,La Storia,7.2,450,,war
46,De Joodse Raad,8.3,1500,,war
47,Klitschko: More Than a Fight,6.3,519,1h 36m,war
48,Whiskey on the Rocks,7.0,3000,,war
49,Laws of Man,4.9,1400,1h 38m,war
50,Captain Miller,7.2,14000,2h 37m,war
51,"Warhammer 40,000: Space Marine II",8.0,902,,war
52,The Last Front,5.5,667,1h 38m,war
53,The Shamrock Spitfire,5.1,525,1h 48m,war
54,Conquer: Lahad Datu,6.6,575,2h,war
55,The Ballad of Davy Crockett,4.6,276,1h 36m,war
56,All the Lost Ones,3.6,282,1h 46m,war
57,Kang Mak,6.4,934,2h 2m,war
58,Decoded,5.7,484,2h 36m,war
59,Ataturk II: 1881-1919,8.8,2500,2h 21m,war
60,Kargil 1999- The Untold Story of the Indian Air Force,8.3,23,,war
61,Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.3,684,2h 54m,war
62,Call of Duty,8.0,14,,war
63,Le quatrième mur,6.4,194,1h 56m,war
64,The Volunteers: The Battle of Life and Death,6.1,305,2h 24m,war
65,The White Death,,0,5m,war
66,WWII: Operation Phoenix,4.0,110,1h 46m,war
67,Hitler,5.2,322,2h 8m,war
68,Vreme smrti,8.0,346,,war
69,Naam Namak Nishan,6.6,194,,war
70,Submerged,7.9,15,17m,war
71,The Yin Yang Master Zero,5.7,309,1h 52m,war
72,Chhava,8.4,2300,51m,war
73,Red Sun,8.1,243,,war
74,Bardejov,4.8,184,1h 25m,war
75,Fortunes of War,3.5,187,1h 25m,war
76,Aserb: The Squadron,5.2,352,2h,war
77,"America, Invaded",6.9,21,1h 22m,war
78,Red Poppies,4.7,355,2h 2m,war
79,Fortune de France,6.9,104,,war
80,Lost Women Spies,6.7,121,,war
81,Air War,6.4,129,1h 46m,war
82,God & Country,8.5,7,20m,war
83,The Invasion,6.6,131,2h 25m,war
84,The Other Side,5.8,293,1h 37m,war
85,Drava se ne predaje,7.1,18,1h 16m,war
86,Apocalypse: Les débarquements,8.3,93,,war
87,Der Deserteur,8.3,40,1h 33m,war
88,War Blade,3.9,263,1h 34m,war
89,The Epidemic,5.9,72,1h 35m,war
90,Ukraine: Enemy in the Woods,7.9,506,59m,war
91,The Mousetrap,7.1,29,1h 27m,war
92,Peter Brook's the Mahabharata (8K),,0,2h 53m,war
93,White Courage,6.4,653,1h 55m,war
94,At the Edge of the Abyss,7.7,227,,war
95,The Great War,7.1,125,,war
96,Purple Heart Warriors,,0,,war
97,Admiral Kuznetsov,5.6,69,,war
98,In the Name of the Brother,4.6,239,,war
99,The Liberation Men,6.5,93,1h 30m,war
100,The Zelensky Story,8.1,404,,war
101,Haywire: Gunslingers,2.0,34,1h 25m,war
102,Come Home,9.4,6,26m,war
103,Hengyang 1944,6.5,26,,war
104,Corridors of Power: Should America Police the World?,8.7,175,,war
105,Songs of Slow Burning Earth,7.6,285,1h 35m,war
106,Kodenavn: Storfyrstinden,8.0,80,,war
107,Die Spaltung der Welt,7.2,117,,war
108,Military Machines: Nazi Germany in WWII,,0,,war
109,Ludzie,6.5,61,1h 57m,war
110,Poklyk kokhannya,,0,,war
111,"Us, Our Pets and the War",8.6,433,1h 19m,war
112,A Lonely Hero's Journey,6.7,33,,war
113,October 7 - Al Jazeera Investigations,5.5,65,1h,war
114,Korni,7.7,152,2h 17m,war
115,We Were Recruits,7.0,250,1h 32m,war
116,In the Name of Justice,4.9,26,32m,war
117,The Watchman,6.5,123,26m,war
118,Da Vinci,8.3,84,1h 21m,war
119,Pereviznytsya,7.0,192,,war
120,Scars,7.8,29,1h 14m,war
121,The American Soldier,,0,1h 26m,war
122,Battle of Shangganling,6.6,41,,war
123,Sentinelles - Ukraine,7.2,32,,war
124,"Dao, Pho Va Piano",5.7,220,1h 40m,war
125,Hitler's Handmaidens,5.8,73,,war
126,Terminator: Dark Fate - Defiance,6.0,32,,war
127,Bozji gnjev,7.2,60,1h 51m,war
128,"Por ti, Portugal, eu juro!",8.0,7,1h 38m,war
129,Brocade Odyssey,7.4,70,,war
130,Israel and Gaza: Into the Abyss,7.3,67,1h 29m,war
131,Al-Boom,6.6,48,,war
132,Blindside,,0,3m,war
133,Duffle Bag Boy,6.7,62,,war
134,Burgemeestersmoord,6.5,89,1h 54m,war
135,Un milione di granelli di sabbia,,0,1h 4m,war
136,Los indomables,6.5,9,1h 46m,war
137,D-Day: The Unheard Tapes,8.2,269,,war
138,Village of Death: Oradour-sur-Glane 1944,7.8,17,58m,war
139,Pervitin,6.7,6,24m,war
140,The Risk Rule,,0,18m,war
141,The Dakota War: Attack on Fort Ridgely,,0,1h 20m,war
142,Blood Vendetta,7.5,245,1h 30m,war
143,Occupied,,0,1h 17m,war
144,Casques bleuEs,,0,1h 22m,war
145,Lost Identity,6.8,15,,war
146,20/22,5.0,127,,war
