No,Title,Rating,Votes,Duration,Genre
1,The Unholy Trinity,5.5,3100,1h 35m,western
2,Horizon: An American Saga - Chapter 1,6.6,42000,3h 1m,western
3,Horizon: An American Saga - Chapter 2,7.1,1500,3h 10m,western
4,The Thicket,5.8,4500,1h 48m,western
5,Rust,5.5,3200,2h 19m,western
6,Territory,6.8,6900,,western
7,Manhunt,7.2,8900,,western
8,Elkhorn,6.7,278,,western
9,Pedro Páramo,6.3,3200,2h 10m,western
10,Buffalo Kids,6.6,839,1h 33m,western
11,Wyatt Earp and the Cowboy War,7.8,4200,,western
12,Desert Fiends,4.6,974,1h 46m,western
13,Golden Kamuy,6.3,2700,2h 7m,western
14,Same Old West,7.6,430,1h 38m,western
15,Wynonna Earp: Vengeance,5.6,1700,1h 36m,western
16,Zorro,6.3,2800,,western
17,Bitter Gold,7.8,83,1h 23m,western
18,Malaikottai Vaaliban,6.0,4200,2h 36m,western
19,The Night They Came Home,3.6,467,1h 45m,western
20,Calamity Jane,4.4,820,1h 35m,western
21,Outlaw Posse,4.3,562,1h 48m,western
22,Adiós al amigo,8.2,41,1h 58m,western
23,Seven Cemeteries,4.6,680,1h 24m,western
24,Ghosts of Red Ridge,3.3,191,1h 21m,western
25,Was Once a Hero,8.5,68,,western
26,Zorro,5.7,548,,western
27,They Call Her Death,5.4,231,1h 32m,western
28,Over the Red River,3.5,104,1h 23m,western
29,Golden Kamuy: The Hunt of Prisoners in Hokkaido,6.9,384,,western
30,The Guardsmen,3.1,192,1h 13m,western
31,The Tall Tales of Jim Bridger,6.3,147,,western
32,Eye for an Eye 2,6.6,590,1h 30m,western
33,Taken from Rio Bravo,3.0,342,1h 20m,western
34,Andromeda: 1883,3.9,20,1h 15m,western
35,Paradise,6.9,83,1h 23m,western
36,Ghosts of Ruin,6.3,16,,western
37,Bolero,3.0,31,,western
38,A Tippling Adventure,8.3,47,,western
39,Unnatural,3.7,147,1h 43m,western
40,Searching for the Elephant,5.8,38,1h 56m,western
41,Escanyapobres,6.2,99,1h 42m,western
42,Melody of Love,7.8,23,11m,western
43,Coyote Woman,2.1,78,1h 50m,western
44,The Angel,7.3,15,19m,western
45,Fyre Rises,6.0,330,1h 50m,western
46,Astral Plane Drifter,8.8,33,,western
47,Joe Crist,4.0,517,53m,western
48,MechWest,8.7,49,,western
49,Harsh Treatment,8.3,16,,western
50,Bleach Bone,,0,15m,western
51,A Better Man,,0,,western
52,My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,5.3,12,1h 14m,western
53,The Ecstasy of Gold: The Treasure of Jesse James,5.6,21,1h 30m,western
54,Guns Blazin,7.1,10,1h 28m,western
55,Desperate Mrs. Seonju,7.4,26,,western
56,ROLE MODEL - Look at That Woman,,0,,western
57,Doc Holliday 2,6.1,12,,western
58,Six Guns for Hire,,0,,western
59,Lady Outlaw,6.5,27,1h 44m,western
60,Yesteryear Once More,,0,,western
61,Clive,,0,,western
62,Ashes,,0,,western
63,Doc Holliday 3,5.0,10,,western
64,The Dakota War: Attack on Fort Ridgely,,0,1h 20m,western
65,The Guardsmen: Part 3,3.4,88,,western
66,The Dakota War: Revenge,,0,1h 32m,western
67,Buried on Shine Mountain,8.8,10,,western
68,Dans l'ombre de Marlow,,0,1h 20m,western
69,The Film Café,,0,,western
70,A Good Place to Die,,0,2m,western
71,Oltre il confine,6.4,10,1h 16m,western
72,Myall Creek Day of Justice,6.4,17,1h 18m,western
73,Mr. Pettigrew,,0,,western
74,In Search of Bass Reeves,6.1,62,1h 45m,western
75,Wild Bastards,8.6,5,,western
76,The Baku,,0,,western
77,Death After Dusk,5.6,97,2h 20m,western
78,Zoloto Umalty,4.9,114,1h 49m,western
79,Hinter dem Eisernen Horizont,7.5,17,1h 28m,western
80,The Guardsmen: Part 2,3.6,88,,western
81,Striking Gold,8.0,12,,western
82,Last Flamingo of the Red Summer Sunset,8.8,14,1h 20m,western
83,Cosmic Cowboys,,0,19m,western
84,Rivals,,0,17m,western
85,Once Upon a Time in Amityville,3.7,57,1h 13m,western
86,Reckoning,,0,,western
87,The Red Huntress,6.0,22,,western
88,Blood and Dust,,0,,western
89,UFO 50,8.2,21,,western
90,Desperado's Rivalsa,,0,,western
91,Outlast,,0,18m,western
92,De Tocht Alleen,,0,,western
93,Jama,6.0,18,1h 11m,western
94,The Ballad of Winchester Pete,,0,,western
95,Boot Hill,,0,,western
96,The Way of the West,,0,,western
97,What Ivan Saw,,0,6m,western
98,Goin' Home,,0,1h 31m,western
99,Post Apocalyptic,,0,3m,western
100,Deep in My Heart is a Song,,0,16m,western
101,Fantasma,,0,,western
102,Gegagedigedagedago,,0,,western
103,On A Narrow Range,,0,20m,western
104,Ipdeot,,0,13m,western
105,Bo Nan Za,9.1,29,1h 1m,western
106,Unforgiven,,0,20m,western
107,Memoirs of Madame Moustache,,0,,western
108,Chinatown Cowboy,,0,13m,western
109,Ella Langley feat. Riley Green - You Look Like You Love Me,,0,,western
110,Travesty,7.3,12,1h 18m,western
111,Lemon Joe,7.2,7,7m,western
112,Billy Strings: Seven Weeks in County,,0,7m,western
113,Shooting Starr,,0,33m,western
114,The House That Was Not,,0,20m,western
115,Divorce Ranch,,0,,western
116,Darlin',10,11,,western
117,One More Game,8.5,6,8m,western
118,Sisifo,,0,22m,western
119,Frontier Medicine Man,,0,7m,western
120,Fisherman's Burden,8.5,6,18m,western
121,The Six Shooter,,0,,western
122,Dreadstone: The Beginning,,0,,western
123,Morningstar,,0,1h 24m,western
124,12 Million Dollar Movie on Paper,,0,,western
125,"Westward, Hoe!",,0,,western
126,DooDoo Anthem,,0,,western
127,Sanctuary,,0,,western
128,Ambush at St. Mary's,8.2,16,14m,western
129,Desert Knight,,0,29m,western
130,The Road Agent,,0,,western
131,"Me, Alone",,0,,western
132,Cowboys Doing Laundry,,0,3m,western
133,The Town with No Name - Sommer Stories,,0,,western
134,Candy & Firecrackers,,0,7m,western
135,The Writer,,0,5m,western
136,Out West,3.6,9,,western
137,Legends of the Stagecoach,8.0,8,,western
138,Pluteus,,0,,western
139,The Campfire Story,6.8,5,19m,western
140,Ghost Town,,0,,western
141,El Vaquero,8.4,13,1h 33m,western
142,The forgotten Winchester,,0,,western
143,Fanny and the Pack,9.1,8,,western
144,Legends of the Pony Express,5.2,19,43m,western
145,The Insurgence: Sheriffs,,0,,western
146,No Good Legend,,0,,western
147,The Golden Ghosts,,0,1h,western
148,Role Model: Deeply Still in Love,,0,,western
149,A Tale of Earl Gray,,0,,western
150,The Lonesome Pony,,0,6m,western
151,Insurgent,,0,9m,western
152,The Wicked: Reborn,,0,,western
153,A Cowboy Against Thunder,,0,,western
154,A Man from Bandara,,0,,western
155,The Motorist,,0,22m,western
156,Lolo & Sosaku: The Western Archive,,0,1h 6m,western
157,Wildcat,,0,,western
158,Two Graves,,0,,western
159,MERCY: A Queer Eldritch Western,,0,,western
160,Hasta que tu muerte nos separe,,0,,western
161,Icarian,,0,29m,western
162,Pibales,,0,,western
163,A Western Parable,,0,,western
164,Succubus,,0,20m,western
165,Rider: a Story of Rebirth,,0,20m,western
166,Time Traveler,,0,,western
167,The Red Reina,,0,,western
168,Quiet are the Birds,,0,16m,western
169,"The Goods, Bads and Uglys",,0,,western
170,Przelecz zlamanego serca (Audioplay),,0,5h 33m,western
171,Gretta,,0,,western
172,Het Beste uit het Westen: een Potato Western,,0,,western
173,Invitation to a hangin',,0,11m,western
174,In Between,,0,19m,western
175,The Last Posse,,0,37m,western
176,David the King,,0,8m,western
177,The Outlaw Torn,,0,,western
178,The Oregon Trail,,0,,western
179,Lanet Beyaz Adam,5.3,11,32m,western
180,The Echoes of Tombstone,,0,,western
181,Forever West,,0,13m,western
182,The Partners,,0,58m,western
183,Gunslingers,,0,10m,western
184,Trapo Sucio: A Mofongo Western,,0,,western
185,The Hunt for the Wild Bunch: The True Story of Sheriff George Armstrong Chappell,,0,14m,western
186,Ghost Hounds: You'll Never Find Me,,0,,western
187,Jansport: Always with You,,0,,western
188,They Rode Together,,0,,western
189,Feet First Town,,0,,western
190,#Ladyfinger,,0,8m,western
191,The Fields Are Burning,,0,41m,western
192,Bloody Tears,,0,18m,western
193,Bullet or Rope,,0,55m,western
194,Fence,,0,14m,western
195,Clementine,,0,11m,western
196,A Fistful of Aces,,0,,western
197,Wastelands,9.0,10,19m,western
198,Attack on Tranquility,,0,1h 4m,western
199,True West,,0,,western
200,12:34 AMM,,0,3m,western
201,Bloodthirsty,,0,9m,western
202,One Goes Astray,,0,12m,western
203,Trigger Bar Death Rally,,0,18m,western
204,High Noon Bounty,,0,8m,western
205,Ghosts of Gold Creek,,0,,western
206,A Little Western Story,,0,13m,western
207,Another Man's Treasure,,0,28m,western
208,Deception,,0,16m,western
209,Cold-Hearted Cunts,,0,40m,western
210,A Flame's Reach,,0,7m,western
211,The Letter,,0,,western
212,Pale Moon,,0,,western
213,The Letter Home,,0,35m,western
214,APEX,,0,30m,western
215,El Bueno el Malo y el Varo,,0,,western
216,"The Constable, the Criminal, and the Cowgirl",,0,21m,western
217,Atascosa,9.4,11,,western
218,Raven Steel,8.9,11,11m,western
219,Dark Wanderer and the Bounty Heart,,0,,western
220,Dying by the Devil,,0,7m,western
221,Det vilde Vestjylland,,0,14m,western
222,The Tempest,,0,13m,western
223,El Western,,0,,western
224,The Redemption of Diego Quintana,,0,35m,western
225,The Stand at Alder Creek,,0,53m,western
226,Rouge poulet,,0,,western
227,The Journey to the West,,0,10m,western
228,The Thief and the Wolf,,0,,western
229,Fastest Suicide in the West,,0,1m,western
230,20/20,,0,6m,western
231,Turning the Tables Lattafa Perfume saves the date,,0,,western
